Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
3;RER;CHATELET-LES HALLES-RER;24100383;A;B;;;;Paris;1
4;RER;LA DEFENSE-RER;17570475;A;;;;;Puteaux;
7;RER;MASSY-PALAISEAU;6819340;B;;;;;Massy;
10;RER;NOISY-LE-GRAND-MONT D'EST;5477236;A;;;;;Noisy-le-Grand;
11;RER;CITE UNIVERSITAIRE;5144113;B;;;;;Paris;14
20;RER;NATION-RER;3492188;A;;;;;Paris;12
22;RER;BOURG-LA-REINE;3134620;B;;;;;Bourg la Reine;
24;RER;NANTERRE-UNIVERSITE;3069010;A;;;;;Nanterre;
31;RER;MARNE-LA-VALLEE-CHESSY;2525654;A;;;;;Montévrain;
34;RER;LA CROIX DE BERNY;2357629;B;;;;;Antony;
45;RER;LES BACONNETS;1597521;B;;;;;Antony;
46;RER;ROBINSON;1591739;B;;;;;Sceaux;
47;RER;CHATOU-CROISSY;1578758;A;;;;;Chatou;
51;RER;LOGNES;1169619;A;;;;;Lognes;
55;RER;SAINT-REMY-LES-CHEVREUSE;628974;B;;;;;St-Rémy-Lès-Chevreuse;
57;RER;SCEAUX;538058;B;;;;;sceaux;
59;RER;LOZERE;501148;B;;;;;Palaiseau;
61;RER;BURES-SUR-YVETTE;446748;B;;;;;Bures sur Yvette;
1;Métro;GARE DU NORD;34503097;4;5;;;;Paris;10
2;Métro;SAINT-LAZARE;33128384;3;9;12;13;14;Paris;8
5;Métro;GARE DE L'EST;15538471;4;5;7;;;Paris;10
11;Métro;BASTILLE;8069243;1;5;8;;;Paris;12
18;Métro;FRANKLIN D. ROOSEVELT;6173830;1;9;;;;Paris;8
19;Métro;MAIRIE DE MONTREUIL;6158487;9;;;;;Montreuil;
20;Métro;NATION;6050797;1;2;6;9;;Paris;12
26;Métro;BARBES-ROCHECHOUART;5390939;2;4;;;;Paris;18
35;Métro;CHATILLON-MONTROUGE;5034012;13;;;;;Chatillon;
39;Métro;MAIRIE DE SAINT-OUEN;4830810;13;14;;;;Saint Ouen;
44;Métro;REUILLY-DIDEROT;4580091;1;8;;;;Paris;12
50;Métro;PONT CARDINET;4168538;14;;;;;Paris;17
53;Métro;MAIRIE DE CLICHY;4043071;13;;;;;Clichy;
55;Métro;MARCADET-POISSONNIERS;3982005;4;12;;;;Paris;18
56;Métro;PYRAMIDES;3962698;7;14;;;;Paris;1
62;Métro;MARCEL SEMBAT;3874792;9;;;;;Boulogne Billancourt;
63;Métro;GEORGE V;3842260;1;;;;;Paris;8
66;Métro;GRANDS BOULEVARDS;3737316;8;9;;;;Paris;9
67;Métro;CONVENTION;3734750;12;;;;;Paris;15
72;Métro;VILLIERS;3586376;2;3;;;;Paris;17
77;Métro;PIGALLE;3501831;2;12;;;;Paris;18
78;Métro;PORTE DE SAINT-CLOUD;3485946;9;;;;;Paris;16
84;Métro;CLICHY SAINT-OUEN;3420852;14;;;;;Saint-ouen;
85;Métro;ANVERS;3420749;2;;;;;Paris;18
90;Métro;BIR-HAKEIM;3362908;6;;;;;Paris;15
98;Métro;PORTE DES LILAS;3105016;3bis;11;;;;Paris;20
111;Métro;PONT DE LEVALLOIS-BECON;2984777;3;;;;;Levallois-Perret;
112;Métro;LE KREMLIN-BICETRE;2925325;7;;;;;Kremlin-Bicêtre;
117;Métro;JULES JOFFRIN;2854819;12;;;;;Paris;18
129;Métro;CHATEAU D'EAU;2687103;4;;;;;Paris;10
133;Métro;DENFERT-ROCHEREAU;2543959;4;6;;;;Paris;14
134;Métro;CORENTIN CELTON;2504682;12;;;;;Issy Les Moulineaux;
140;Métro;ARTS ET METIERS;2403042;3;11;;;;Paris;3
143;Métro;LES GOBELINS;2365942;7;;;;;Paris;13
147;Métro;ANATOLE FRANCE;2311825;3;;;;;Levallois-Perret;
149;Métro;TERNES;2292256;2;;;;;Paris;17
169;Métro;BERAULT;2106827;1;;;;;Vincennes;
170;Métro;PORTE DE CHAMPERRET;2101673;3;;;;;Paris;17
171;Métro;PASSY;2080548;6;;;;;Paris;16
174;Métro;MAIRIE D'IVRY;2042071;7;;;;;Ivry;
175;Métro;PARMENTIER;2037234;3;;;;;Paris;11
179;Métro;MARAICHERS;1994064;9;;;;;Paris;20
180;Métro;BILLANCOURT;1967532;9;;;;;Boulogne Billancourt;
181;Métro;GARIBALDI;1965002;13;;;;;Saint Ouen;
190;Métro;JOURDAIN;1881321;11;;;;;Paris;20
191;Métro;LAMARCK-CAULAINCOURT;1875717;12;;;;;Paris;18
199;Métro;RANELAGH;1779206;9;;;;;Paris;16
200;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;1764879;7;;;;;Villejuif;
207;Métro;LIBERTE;1704609;8;;;;;Charenton;
222;Métro;JAVEL-ANDRE CITROEN;1589561;10;;;;;Paris;15
224;Métro;COURCELLES;1583429;2;;;;;Paris;17
232;Métro;FUNICULAIRE;1528671;2;;;;;Paris;18
234;Métro;MICHEL-ANGE-AUTEUIL;1512050;9;10;;;;Paris;16
236;Métro;PORTE D'ITALIE;1507152;7;;;;;Paris;13
237;Métro;BREGUET-SABIN;1490160;5;;;;;Paris;11
238;Métro;NOTRE-DAME-DES-CHAMPS;1487256;12;;;;;Paris;6
239;Métro;MALAKOFF-RUE ETIENNE DOLET;1450451;13;;;;;Malakoff;
243;Métro;MICHEL-ANGE-MOLITOR;1420552;9;10;;;;Paris;16
245;Métro;SAINT-JACQUES;1407837;6;;;;;Paris;13
246;Métro;MICHEL BIZOT;1403416;8;;;;;Paris;12
247;Métro;LA TOUR-MAUBOURG;1361723;8;;;;;Paris;7
250;Métro;VAVIN;1322588;4;;;;;Paris;14
251;Métro;NATIONALE;1320290;6;;;;;Paris;13
262;Métro;MAISON BLANCHE;1203631;7;;;;;Paris;13
266;Métro;FELIX FAURE;1161978;8;;;;;Paris;15
270;Métro;CHATEAU-LANDON;1140353;7;;;;;Paris;10
272;Métro;SULLY-MORLAND;1124169;7;;;;;Paris;4
275;Métro;EUROPE;1106459;3;;;;;Paris;8
283;Métro;CAMPO-FORMIO;1016150;5;;;;;Paris;13
298;Métro;SAINT-FARGEAU;472258;3bis;;;;;Paris;8
300;Métro;PORTE D'AUTEUIL;375748;10;;;;;Paris;16
5;RER;NANTERRE-PREFECTURE;16665520;A;;;;;Nanterre;
8;RER;AUBER;6549601;A;;;;;Paris;9
12;RER;CHARLES DE GAULLE-ETOILE-RER;4945694;A;;;;;Paris;17
15;RER;SAINT-MICHEL-NOTRE-DAME;4376933;B;;;;;Paris;
17;RER;ANTONY;4090042;B;;;;;Antony;
18;RER;LUXEMBOURG;3624948;B;;;;;Paris;5
23;RER;TORCY;3091308;A;;;;;Torcy;
26;RER;DENFERT-ROCHEREAU-RER;3011780;B;;;;;Paris;14
29;RER;SAINT-MAUR-CRETEIL;2762895;A;;;;;Saint-Maur des Fossés;
30;RER;ARCUEIL-CACHAN;2620746;B;;;;;Arcueil;
35;RER;BUSSY-SAINT-GEORGES;2338585;A;;;;;Bussy-Saint-Georges;
39;RER;FONTENAY-SOUS-BOIS;2121720;A;;;;;Fontenay-sous-Bois;
40;RER;SUCY-BONNEUIL;1993503;A;;;;;Sucy-en-Brie;
58;RER;LE GUICHET;530706;B;;;;;Orsay;
65;RER;PARC DE SCEAUX;383626;B;;;;;Antony;
66;RER;LA HACQUINIERE;285626;B;;;;;Bures sur Yvette;
